station_complex,year,month,day_type,ridership
"Grand Central-42 St (S,4,5,6,7)",2022,2022-10-01,2,441973
Flushing-Main St (7),2022,2022-09-01,2,210288
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-08-01,2,204021
Flushing-Main St (7),2021,2021-05-01,2,174327
"34 St-Penn Station (1,2,3)",2021,2021-02-01,2,77915
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-10-01,2,109932
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-03-01,2,453741
Flushing-Main St (7),2023,2023-12-01,2,300849
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-03-01,2,661037
"34 St-Penn Station (A,C,E)",2023,2023-02-01,2,237361
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-04-01,2,142768
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-09-01,2,403128
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-07-01,2,91901
"34 St-Penn Station (1,2,3)",2024,2024-04-01,2,234947
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-06-01,2,338047
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-03-01,2,366745
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-11-01,2,426698
"34 St-Penn Station (A,C,E)",2023,2023-01-01,2,234285
"Grand Central-42 St (S,4,5,6,7)",2023,2023-06-01,2,417636
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-10-01,2,313266
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-05-01,2,402029
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-08-01,2,454164
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-05-01,2,260943
"34 St-Penn Station (A,C,E)",2021,2021-05-01,2,164440
"Grand Central-42 St (S,4,5,6,7)",2021,2021-05-01,2,191456
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-04-01,2,191782
"Grand Central-42 St (S,4,5,6,7)",2024,2024-09-01,2,408462
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-10-01,2,405228
"34 St-Penn Station (1,2,3)",2022,2022-06-01,2,217729
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-11-01,2,218986
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-09-01,2,299434
"Grand Central-42 St (S,4,5,6,7)",2021,2021-10-01,2,312778
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-06-01,2,326144
Flushing-Main St (7),2024,2024-08-01,2,280290
"34 St-Penn Station (1,2,3)",2023,2023-08-01,2,238174
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-03-01,2,309934
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-07-01,2,499022
"59 St-Columbus Circle (A,B,C,D,1)",2020,2020-10-01,2,110806
"34 St-Penn Station (A,C,E)",2020,2020-12-01,2,72238
Flushing-Main St (7),2024,2024-05-01,2,251602
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-03-01,2,307034
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-06-01,2,451380
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-10-01,2,452066
"34 St-Penn Station (1,2,3)",2024,2024-10-01,2,318731
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-09-01,2,401373
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-04-01,2,644827
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-10-01,2,820207
"34 St-Penn Station (1,2,3)",2021,2021-04-01,2,105101
Flushing-Main St (7),2020,2020-08-01,2,104259
Flushing-Main St (7),2020,2020-07-01,2,71045
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-05-01,2,274470
"34 St-Penn Station (A,C,E)",2024,2024-02-01,2,248157
"59 St-Columbus Circle (A,B,C,D,1)",2024,2024-01-01,2,225032
"34 St-Penn Station (A,C,E)",2024,2024-10-01,2,333096
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-06-01,2,408134
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-06-01,2,195289
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-05-01,2,166953
"Grand Central-42 St (S,4,5,6,7)",2020,2020-10-01,2,124130
"34 St-Penn Station (A,C,E)",2024,2024-05-01,2,271968
"34 St-Penn Station (1,2,3)",2024,2024-09-01,2,244749
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-08-01,2,829296
"34 St-Penn Station (A,C,E)",2024,2024-07-01,2,262603
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-08-01,2,107069
"34 St-Penn Station (1,2,3)",2022,2022-09-01,2,218794
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-03-01,2,35488
"Grand Central-42 St (S,4,5,6,7)",2024,2024-05-01,2,433664
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-04-01,2,406151
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-01-01,2,76272
"34 St-Penn Station (1,2,3)",2023,2023-12-01,2,333360
"34 St-Penn Station (A,C,E)",2023,2023-07-01,2,344414
"34 St-Penn Station (1,2,3)",2023,2023-01-01,2,219611
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2024,2024-09-01,2,270054
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-12-01,2,347308
"34 St-Penn Station (A,C,E)",2021,2021-10-01,2,298471
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-08-01,2,280708
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2020,2020-08-01,2,27162
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-02-01,2,271203
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-02-01,2,323508
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-03-01,2,170670
Flushing-Main St (7),2021,2021-03-01,2,122808
"Grand Central-42 St (S,4,5,6,7)",2020,2020-07-01,2,57869
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-09-01,2,245196
"34 St-Penn Station (A,C,E)",2024,2024-08-01,2,303983
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-07-01,2,730356
"34 St-Penn Station (1,2,3)",2022,2022-12-01,2,261716
"Grand Central-42 St (S,4,5,6,7)",2023,2023-08-01,2,402038
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-05-01,2,641773
"34 St-Penn Station (1,2,3)",2024,2024-05-01,2,254593
"34 St-Penn Station (A,C,E)",2024,2024-04-01,2,288303
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2024,2024-04-01,2,271202
"Grand Central-42 St (S,4,5,6,7)",2024,2024-08-01,2,455722
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-04-01,2,274689
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-06-01,2,613421
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2020,2020-11-01,2,40841
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-08-01,2,143296
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2024,2024-09-01,2,111152
"34 St-Penn Station (1,2,3)",2024,2024-03-01,2,288820
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-03-01,2,248277
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-05-01,2,114744
Flushing-Main St (7),2023,2023-04-01,2,262756
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-01-01,2,41328
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-11-01,2,167038
Flushing-Main St (7),2023,2023-11-01,2,232231
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-06-01,2,101693
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-12-01,2,281057
Flushing-Main St (7),2021,2021-10-01,2,220204
"59 St-Columbus Circle (A,B,C,D,1)",2024,2024-10-01,2,313710
"34 St-Penn Station (A,C,E)",2023,2023-03-01,2,248822
"34 St-Penn Station (1,2,3)",2023,2023-10-01,2,279594
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-05-01,2,393127
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-07-01,2,429115
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-07-01,2,934291
"34 St-Penn Station (1,2,3)",2022,2022-11-01,2,252792
"34 St-Penn Station (A,C,E)",2022,2022-05-01,2,179588
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-09-01,2,108048
Flushing-Main St (7),2022,2022-06-01,2,196067
"34 St-Penn Station (A,C,E)",2021,2021-08-01,2,188904
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-09-01,2,85835
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2024,2024-05-01,2,252021
"34 St-Penn Station (1,2,3)",2023,2023-07-01,2,283190
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-04-01,2,468106
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-09-01,2,812821
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-04-01,2,104247
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2020,2020-11-01,2,134437
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-09-01,2,203896
"34 St-Penn Station (1,2,3)",2024,2024-01-01,2,179826
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-05-01,2,380887
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-11-01,2,134121
"34 St-Penn Station (1,2,3)",2022,2022-07-01,2,249228
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-10-01,2,331798
"Grand Central-42 St (S,4,5,6,7)",2021,2021-09-01,2,235566
"34 St-Penn Station (1,2,3)",2021,2021-07-01,2,181789
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-02-01,2,90501
"59 St-Columbus Circle (A,B,C,D,1)",2020,2020-09-01,2,86858
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-04-01,2,760319
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2024,2024-08-01,2,139206
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-07-01,2,382481
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-03-01,2,363648
Flushing-Main St (7),2022,2022-12-01,2,213344
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-11-01,2,181859
"34 St-Penn Station (A,C,E)",2022,2022-03-01,2,212584
"34 St-Penn Station (1,2,3)",2021,2021-08-01,2,174649
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-09-01,2,139800
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-07-01,2,356444
"34 St-Penn Station (1,2,3)",2022,2022-02-01,2,184873
"34 St-Penn Station (A,C,E)",2023,2023-10-01,2,332537
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-07-01,2,424971
"34 St-Penn Station (A,C,E)",2022,2022-07-01,2,273250
"34 St-Penn Station (A,C,E)",2022,2022-02-01,2,117594
"34 St-Penn Station (A,C,E)",2022,2022-01-01,2,169087
"Grand Central-42 St (S,4,5,6,7)",2022,2022-05-01,2,307687
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-12-01,2,344160
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-07-01,2,281802
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-02-01,2,349099
"34 St-Penn Station (1,2,3)",2023,2023-02-01,2,207785
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-02-01,2,205654
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-07-01,2,758313
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-03-01,2,241532
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-10-01,2,277017
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-09-01,2,293306
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-10-01,2,256032
Flushing-Main St (7),2022,2022-03-01,2,164788
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-07-01,2,132555
"59 St-Columbus Circle (A,B,C,D,1)",2024,2024-02-01,2,252436
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-08-01,2,292345
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-09-01,2,285687
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-12-01,2,206011
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-02-01,2,32380
"34 St-Penn Station (A,C,E)",2021,2021-01-01,2,99614
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-01-01,2,325986
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-02-01,2,186446
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-12-01,2,1003714
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-12-01,2,382487
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-09-01,2,305252
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-10-01,2,407890
"34 St-Penn Station (1,2,3)",2024,2024-07-01,2,243651
"Grand Central-42 St (S,4,5,6,7)",2024,2024-07-01,2,434831
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-05-01,2,277310
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-04-01,2,215045
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-03-01,2,206527
"59 St-Columbus Circle (A,B,C,D,1)",2020,2020-11-01,2,106843
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2024,2024-10-01,2,142910
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-12-01,2,354127
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-03-01,2,207302
"34 St-Penn Station (A,C,E)",2023,2023-11-01,2,306199
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-08-01,2,247513
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-04-01,2,359812
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2020,2020-10-01,2,39693
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-01-01,2,666677
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2022,2022-07-01,2,240700
"Grand Central-42 St (S,4,5,6,7)",2021,2021-12-01,2,266616
"34 St-Penn Station (1,2,3)",2023,2023-06-01,2,252773
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-06-01,2,264777
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-09-01,2,186785
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-09-01,2,226074
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-10-01,2,253464
"34 St-Penn Station (A,C,E)",2024,2024-09-01,2,276306
"34 St-Penn Station (A,C,E)",2023,2023-08-01,2,275513
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-08-01,2,755145
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-06-01,2,235174
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2020,2020-12-01,2,113289
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2024,2024-07-01,2,132806
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-02-01,2,470683
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-04-01,2,480221
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-06-01,2,374623
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-10-01,2,670084
"34 St-Penn Station (1,2,3)",2020,2020-10-01,2,109253
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-08-01,2,400065
Flushing-Main St (7),2022,2022-07-01,2,237953
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-09-01,2,174918
"34 St-Penn Station (A,C,E)",2021,2021-03-01,2,95716
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-10-01,2,172681
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-05-01,2,397513
"59 St-Columbus Circle (A,B,C,D,1)",2024,2024-03-01,2,340307
Flushing-Main St (7),2024,2024-02-01,2,224618
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-10-01,2,303762
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-01-01,2,127550
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-12-01,2,264937
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-04-01,2,266810
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-08-01,2,167129
"34 St-Penn Station (1,2,3)",2024,2024-02-01,2,206905
"Grand Central-42 St (S,4,5,6,7)",2023,2023-10-01,2,458305
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-12-01,2,170678
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-08-01,2,331175
"Grand Central-42 St (S,4,5,6,7)",2020,2020-11-01,2,110427
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-08-01,2,199086
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-02-01,2,313891
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-02-01,2,173109
"34 St-Penn Station (A,C,E)",2023,2023-05-01,2,254596
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-02-01,2,218542
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-01-01,2,241531
"34 St-Penn Station (1,2,3)",2022,2022-03-01,2,177981
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-07-01,2,168550
"34 St-Penn Station (A,C,E)",2021,2021-02-01,2,79055
"34 St-Penn Station (A,C,E)",2020,2020-07-01,2,54528
