station_complex,year,month,day_type,ridership
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-07-01,2,301678
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-12-01,2,441472
"Grand Central-42 St (S,4,5,6,7)",2022,2022-12-01,2,392637
Flushing-Main St (7),2022,2022-05-01,2,203943
Flushing-Main St (7),2021,2021-08-01,2,177673
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-10-01,2,171835
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-06-01,2,488519
"34 St-Penn Station (1,2,3)",2024,2024-08-01,2,270685
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-01-01,2,263526
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-01-01,2,152295
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-05-01,2,234675
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-06-01,2,175233
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-05-01,2,115697
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-07-01,2,195764
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-02-01,2,113511
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-08-01,2,74644
"34 St-Penn Station (1,2,3)",2024,2024-06-01,2,323223
"Grand Central-42 St (S,4,5,6,7)",2024,2024-10-01,2,493266
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-07-01,2,128249
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-06-01,2,55011
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-08-01,2,181107
"34 St-Penn Station (1,2,3)",2021,2021-01-01,2,90486
Flushing-Main St (7),2020,2020-10-01,2,136471
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-03-01,2,899493
"Grand Central-42 St (S,4,5,6,7)",2024,2024-02-01,2,383651
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-01-01,2,465606
Flushing-Main St (7),2023,2023-10-01,2,251385
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-08-01,2,375000
"34 St-Penn Station (A,C,E)",2021,2021-06-01,2,180052
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-09-01,2,72850
"34 St-Penn Station (1,2,3)",2021,2021-12-01,2,191637
"Grand Central-42 St (S,4,5,6,7)",2024,2024-03-01,2,488036
"34 St-Penn Station (1,2,3)",2023,2023-05-01,2,231125
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-11-01,2,421189
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-02-01,2,82007
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-01-01,2,100326
"59 St-Columbus Circle (A,B,C,D,1)",2020,2020-12-01,2,85813
