month,division,line,day_type,period,num_timepoints_passing_wait_assessment,num_sched_timepoints,wait assessment
2023-11-01,A DIVISION,6,2,offpeak,5200,6547,0.7942569
2023-11-01,A DIVISION,6,1,peak,13392,19993,0.66983443
2023-11-01,A DIVISION,6,2,peak,2763,3417,0.80860406
2023-11-01,A DIVISION,7,1,offpeak,11923,15289,0.7798417
2023-11-01,A DIVISION,7,2,offpeak,2842,3463,0.82067573
2023-11-01,A DIVISION,7,1,peak,8353,11898,0.70205075
2023-11-01,A DIVISION,7,2,peak,1646,2145,0.767366
2023-11-01,B DIVISION,A,1,offpeak,13508,20879,0.64696586
2023-11-01,B DIVISION,A,2,offpeak,3981,6113,0.65123504
2023-11-01,B DIVISION,A,1,peak,9695,15245,0.6359462
2023-11-01,B DIVISION,A,2,peak,2162,3172,0.6815889
2023-11-01,B DIVISION,B,1,offpeak,6000,8482,0.70738035
2023-11-01,B DIVISION,B,1,peak,5108,8208,0.6223197
2023-11-01,B DIVISION,C,1,offpeak,8715,13707,0.6358065
2023-11-01,B DIVISION,C,2,offpeak,2766,3835,0.7212516
2023-11-01,B DIVISION,C,1,peak,4994,7712,0.64756227
2023-11-01,B DIVISION,C,2,peak,1547,2164,0.7148799
2023-11-01,B DIVISION,D,1,offpeak,9635,14668,0.6568721
2023-11-01,B DIVISION,D,2,offpeak,2963,4207,0.7043024
2023-11-01,B DIVISION,D,1,peak,6105,9462,0.6452124
2023-11-01,B DIVISION,D,2,peak,1550,2138,0.7249766
2023-11-01,B DIVISION,E,1,offpeak,11619,17518,0.66326064
2023-11-01,B DIVISION,E,2,offpeak,2597,3618,0.7177999
2023-11-01,B DIVISION,E,1,peak,7947,11950,0.66502094
2023-11-01,B DIVISION,E,2,peak,1394,1862,0.74865735
2023-11-01,B DIVISION,F,1,offpeak,18780,29788,0.6304552
2023-11-01,B DIVISION,F,2,offpeak,3892,5558,0.7002519
2023-11-01,B DIVISION,F,1,peak,12409,19824,0.62595844
2023-11-01,B DIVISION,F,2,peak,2112,2778,0.76025915
2023-11-01,B DIVISION,G,1,offpeak,10141,12314,0.8235342
2023-11-01,B DIVISION,G,2,offpeak,3109,3762,0.8264221
2023-11-01,B DIVISION,G,1,peak,5958,7545,0.789662
2023-11-01,B DIVISION,G,2,peak,1633,1977,0.82599896
2023-11-01,B DIVISION,JZ,1,offpeak,8992,11433,0.7864952
2023-11-01,B DIVISION,JZ,2,offpeak,2705,3434,0.78771114
2023-11-01,B DIVISION,JZ,1,peak,5845,8220,0.71107054
2023-11-01,B DIVISION,JZ,2,peak,1421,1816,0.782489
2023-11-01,B DIVISION,L,1,offpeak,19321,25084,0.7702519
2023-11-01,B DIVISION,L,2,offpeak,5113,6499,0.7867364
2023-11-01,B DIVISION,L,1,peak,11193,15295,0.73180777
2023-11-01,B DIVISION,L,2,peak,2466,3346,0.7369994
2023-11-01,B DIVISION,M,1,offpeak,7410,9222,0.80351335
2023-11-01,B DIVISION,M,2,offpeak,973,1072,0.9076493
2023-11-01,B DIVISION,M,1,peak,3997,5173,0.77266574
2023-11-01,B DIVISION,M,2,peak,516,574,0.8989547
2023-11-01,B DIVISION,N,1,offpeak,12062,18620,0.64779806
2023-11-01,B DIVISION,N,2,offpeak,3442,4989,0.6899178
2023-11-01,B DIVISION,N,2,peak,1865,2489,0.7492969
2023-11-01,B DIVISION,N,1,peak,6980,11100,0.6288288
2023-11-01,B DIVISION,Q,2,offpeak,2906,4268,0.68088096
2023-11-01,B DIVISION,Q,1,offpeak,9161,13315,0.688021
2023-11-01,B DIVISION,Q,2,peak,1502,2172,0.69152856
2023-11-01,B DIVISION,Q,1,peak,5367,8310,0.6458484
2023-11-01,B DIVISION,R,2,offpeak,4785,6490,0.7372881
2023-11-01,B DIVISION,R,1,offpeak,14465,21894,0.6606833
2023-11-01,B DIVISION,R,1,peak,9479,14819,0.6396518
2023-11-01,B DIVISION,R,2,peak,2647,3532,0.74943376
2023-11-01,A DIVISION,S 42nd,1,offpeak,3087,3147,0.9809342
2023-11-01,A DIVISION,S 42nd,2,offpeak,804,809,0.99381953
2023-11-01,A DIVISION,S 42nd,2,peak,462,465,0.9935484
2023-11-01,A DIVISION,S 42nd,1,peak,2076,2121,0.9787836
2023-11-01,B DIVISION,S Fkln,1,offpeak,2335,2385,0.9790356
2023-11-01,B DIVISION,S Fkln,2,offpeak,871,880,0.98977274
2023-11-01,B DIVISION,S Fkln,1,peak,1395,1419,0.9830867
2023-11-01,B DIVISION,S Fkln,2,peak,484,486,0.9958848
2023-11-01,B DIVISION,S Rock,1,offpeak,1636,1791,0.91345614
2023-11-01,B DIVISION,S Rock,2,offpeak,394,442,0.8914027
2023-11-01,B DIVISION,S Rock,1,peak,793,878,0.90318906
2023-11-01,B DIVISION,S Rock,2,peak,228,244,0.93442625
2023-11-01,B DIVISION,W,1,offpeak,6159,9048,0.6807029
2023-11-01,B DIVISION,W,1,peak,3973,6062,0.65539426
2023-10-01,A DIVISION,1,1,offpeak,20188,27207,0.74201494
2023-10-01,A DIVISION,1,2,offpeak,5517,7601,0.72582555
2023-10-01,A DIVISION,1,1,peak,12764,17885,0.7136707
2023-10-01,A DIVISION,1,2,peak,2771,3660,0.7571038
2023-10-01,A DIVISION,2,2,offpeak,6521,8552,0.7625117
2023-10-01,A DIVISION,2,1,offpeak,19764,30085,0.6569387
2023-10-01,A DIVISION,2,1,peak,12255,19313,0.6345467
2023-10-01,A DIVISION,2,2,peak,3255,4268,0.7626523
2023-10-01,A DIVISION,3,1,offpeak,16909,24053,0.7029892
2023-10-01,A DIVISION,3,2,offpeak,4213,5419,0.7774497
2023-10-01,A DIVISION,3,2,peak,2269,2666,0.85108775
2023-10-01,A DIVISION,3,1,peak,10369,15708,0.6601095
2023-10-01,A DIVISION,4,2,offpeak,7145,9921,0.7201895
2023-10-01,A DIVISION,4,1,offpeak,23859,32411,0.73613894
2023-10-01,A DIVISION,4,1,peak,15842,23715,0.668016
2023-10-01,A DIVISION,4,2,peak,3831,5265,0.7276353
2023-10-01,A DIVISION,5,1,offpeak,17194,24554,0.70025253
2023-10-01,A DIVISION,5,2,offpeak,2710,3537,0.76618606
2023-10-01,A DIVISION,5,2,peak,1376,1790,0.7687151
2023-10-01,A DIVISION,5,1,peak,13321,20379,0.6536631
2023-10-01,A DIVISION,6,2,offpeak,5715,7224,0.79111296
2023-10-01,A DIVISION,6,1,offpeak,23241,31212,0.74461746
2023-10-01,A DIVISION,6,2,peak,2925,3747,0.7806245
2023-10-01,A DIVISION,6,1,peak,14613,20966,0.6969856
2023-10-01,A DIVISION,7,1,offpeak,11379,14473,0.78622264
2023-10-01,A DIVISION,7,2,offpeak,2915,3428,0.8503501
2023-10-01,A DIVISION,7,1,peak,7833,10926,0.71691376
2023-10-01,A DIVISION,7,2,peak,1606,1988,0.8078471
2023-10-01,B DIVISION,A,1,offpeak,14090,21844,0.6450284
2023-10-01,B DIVISION,A,2,offpeak,4160,6204,0.67053515
2023-10-01,B DIVISION,A,1,peak,10178,16089,0.63260615
2023-10-01,B DIVISION,A,2,peak,2200,3234,0.6802721
2023-10-01,B DIVISION,B,1,offpeak,6784,9262,0.7324552
2023-10-01,B DIVISION,B,1,peak,5761,8642,0.6666281
2023-10-01,B DIVISION,C,1,offpeak,8842,14449,0.61194545
2023-10-01,B DIVISION,C,2,offpeak,2833,4083,0.69385254
2023-10-01,B DIVISION,C,1,peak,5207,8077,0.64467007
2023-10-01,B DIVISION,C,2,peak,1584,2300,0.68869567
2023-10-01,B DIVISION,D,1,offpeak,10034,15202,0.6600447
2023-10-01,B DIVISION,D,2,offpeak,3071,4818,0.6374014
2023-10-01,B DIVISION,D,1,peak,6247,9857,0.63376284
2023-10-01,B DIVISION,D,2,peak,1560,2477,0.6297941
2023-10-01,B DIVISION,E,1,offpeak,12327,18366,0.6711859
2023-10-01,B DIVISION,E,2,offpeak,2442,3925,0.6221656
2023-10-01,B DIVISION,E,2,peak,1384,1946,0.71120244
2023-10-01,B DIVISION,E,1,peak,8039,12455,0.6454436
2023-10-01,B DIVISION,F,2,offpeak,4743,6937,0.68372494
2023-10-01,B DIVISION,F,1,offpeak,19199,30745,0.62445927
2023-10-01,B DIVISION,F,2,peak,2574,3476,0.74050635
2023-10-01,B DIVISION,F,1,peak,12867,20724,0.62087435
2023-10-01,B DIVISION,G,2,offpeak,3686,4491,0.8207526
2023-10-01,B DIVISION,G,1,offpeak,10773,13066,0.82450634
2023-10-01,B DIVISION,G,2,peak,1871,2317,0.8075097
2023-10-01,B DIVISION,G,1,peak,6151,7934,0.775271
2023-10-01,B DIVISION,JZ,2,offpeak,2922,4061,0.7195272
2023-10-01,B DIVISION,JZ,1,offpeak,9679,12006,0.80618024
2023-10-01,B DIVISION,JZ,1,peak,6109,8552,0.7143358
2023-10-01,B DIVISION,JZ,2,peak,1630,2145,0.75990677
2023-10-01,B DIVISION,L,1,offpeak,20606,26055,0.7908655
2023-10-01,B DIVISION,L,2,offpeak,6016,7549,0.79692674
2023-10-01,B DIVISION,L,1,peak,12173,16013,0.76019484
2023-10-01,B DIVISION,L,2,peak,2999,3883,0.77234095
2023-10-01,B DIVISION,M,1,offpeak,7841,9666,0.8111939
2023-10-01,B DIVISION,M,2,offpeak,1758,2092,0.8403442
2023-10-01,B DIVISION,M,1,peak,4123,5317,0.7754373
2023-10-01,B DIVISION,M,2,peak,969,1110,0.87297297
2023-10-01,B DIVISION,N,1,offpeak,13094,19514,0.6710054
2023-10-01,B DIVISION,N,2,offpeak,4332,6264,0.6915709
2023-10-01,B DIVISION,N,1,peak,7427,11601,0.6402034
2023-10-01,B DIVISION,N,2,peak,2272,3202,0.7095565
2023-10-01,B DIVISION,Q,2,offpeak,2227,3029,0.73522615
2023-10-01,B DIVISION,Q,1,offpeak,9670,14490,0.6673568
2023-10-01,B DIVISION,Q,2,peak,1188,1554,0.76447874
2023-10-01,B DIVISION,Q,1,peak,5799,8718,0.6651755
2023-10-01,B DIVISION,R,2,offpeak,4624,6564,0.7044485
2023-10-01,B DIVISION,R,1,offpeak,15081,22908,0.65832895
2023-10-01,B DIVISION,R,1,peak,9867,15511,0.6361292
2023-10-01,B DIVISION,R,2,peak,2531,3537,0.7155782
2023-10-01,A DIVISION,S 42nd,1,offpeak,3288,3300,0.99636364
2023-10-01,A DIVISION,S 42nd,2,offpeak,903,909,0.9933993
2023-10-01,A DIVISION,S 42nd,2,peak,515,519,0.9922929
2023-10-01,A DIVISION,S 42nd,1,peak,2192,2222,0.98649865
2023-10-01,B DIVISION,S Fkln,1,offpeak,2589,2618,0.98892283
2023-10-01,B DIVISION,S Fkln,2,offpeak,977,982,0.99490833
2023-10-01,B DIVISION,S Fkln,1,peak,1551,1567,0.9897894
2023-10-01,B DIVISION,S Fkln,2,peak,515,525,0.9809524
2023-10-01,B DIVISION,S Rock,1,offpeak,1682,1874,0.89754534
2023-10-01,B DIVISION,S Rock,2,offpeak,601,631,0.9524564
2023-10-01,B DIVISION,S Rock,1,peak,825,912,0.90460527
2023-10-01,B DIVISION,S Rock,2,peak,348,360,0.96666664
2023-10-01,B DIVISION,W,1,offpeak,6651,9573,0.6947665
2023-10-01,B DIVISION,W,2,offpeak,299,564,0.53014183
2023-10-01,B DIVISION,W,1,peak,4306,6328,0.6804678
2023-10-01,B DIVISION,W,2,peak,231,339,0.6814159
2023-09-01,A DIVISION,1,1,offpeak,18090,23588,0.7669154
2023-09-01,A DIVISION,1,2,offpeak,5956,7060,0.8436261
2023-09-01,A DIVISION,1,2,peak,2959,3441,0.85992444
2023-09-01,A DIVISION,1,1,peak,10657,15446,0.6899521
2023-09-01,A DIVISION,2,1,offpeak,17932,25958,0.69080824
2023-09-01,A DIVISION,2,2,offpeak,6566,8905,0.7373386
2023-09-01,A DIVISION,2,1,peak,10849,16679,0.65045863
2023-09-01,A DIVISION,2,2,peak,3234,4459,0.72527474
2023-09-01,A DIVISION,3,1,offpeak,14918,20190,0.73888063
2023-09-01,A DIVISION,3,2,offpeak,5435,6912,0.78631365
2023-09-01,A DIVISION,3,1,peak,9370,13566,0.6906973
2023-09-01,A DIVISION,3,2,peak,2859,3481,0.8213157
2023-09-01,A DIVISION,4,1,offpeak,21095,27983,0.7538506
2023-09-01,A DIVISION,4,2,offpeak,8092,10748,0.75288427
2023-09-01,A DIVISION,4,1,peak,13913,20482,0.6792794
2023-09-01,A DIVISION,4,2,peak,4345,5810,0.7478485
2023-09-01,A DIVISION,5,1,offpeak,15339,21286,0.7206145
2023-09-01,A DIVISION,5,2,offpeak,3507,4612,0.7604076
2023-09-01,A DIVISION,5,2,peak,1989,2482,0.80136985
2023-09-01,A DIVISION,5,1,peak,11799,17578,0.67123675
2023-09-01,A DIVISION,6,1,offpeak,19471,26077,0.7466733
2023-09-01,A DIVISION,6,2,offpeak,5811,7579,0.7667239
2023-09-01,A DIVISION,6,1,peak,12537,18058,0.6942629
2023-09-01,A DIVISION,6,2,peak,3116,3972,0.7844914
2023-09-01,A DIVISION,7,2,offpeak,3802,4614,0.8240139
2023-09-01,A DIVISION,7,1,offpeak,12205,15126,0.8068888
2023-09-01,A DIVISION,7,2,peak,2323,2896,0.8021409
2023-09-01,A DIVISION,7,1,peak,8917,12004,0.7428357
2023-09-01,B DIVISION,A,1,offpeak,12075,18691,0.64603287
2023-09-01,B DIVISION,A,2,offpeak,4298,6225,0.6904418
2023-09-01,B DIVISION,A,1,peak,8355,13648,0.6121776
2023-09-01,B DIVISION,A,2,peak,2272,3248,0.6995074
2023-09-01,B DIVISION,B,1,offpeak,5962,8318,0.71675885
2023-09-01,B DIVISION,B,1,peak,4795,7376,0.65008134
2023-09-01,B DIVISION,C,1,offpeak,7889,12417,0.63533866
2023-09-01,B DIVISION,C,2,offpeak,2715,3953,0.68682015
2023-09-01,B DIVISION,C,1,peak,4384,6917,0.6338008
2023-09-01,B DIVISION,C,2,peak,1441,2246,0.64158505
2023-09-01,B DIVISION,D,1,offpeak,9054,13320,0.6797297
2023-09-01,B DIVISION,D,2,offpeak,3429,4941,0.6939891
2023-09-01,B DIVISION,D,1,peak,5608,8542,0.6565207
2023-09-01,B DIVISION,D,2,peak,1765,2543,0.6940621
2023-09-01,B DIVISION,E,2,offpeak,2404,3629,0.66244143
2023-09-01,B DIVISION,E,1,offpeak,10992,15976,0.68803203
2023-09-01,B DIVISION,E,2,peak,1235,1786,0.69148934
2023-09-01,B DIVISION,E,1,peak,7241,10867,0.66632926
2023-09-01,B DIVISION,F,1,offpeak,16666,26357,0.6323178
2023-09-01,B DIVISION,F,2,offpeak,4472,6723,0.66517925
2023-09-01,B DIVISION,F,2,peak,2258,3370,0.6700297
2023-09-01,B DIVISION,F,1,peak,11079,17763,0.6237122
2023-09-01,B DIVISION,G,2,offpeak,4364,5078,0.8593935
2023-09-01,B DIVISION,G,1,offpeak,9238,11275,0.8193348
2023-09-01,B DIVISION,G,2,peak,2256,2653,0.85035807
2023-09-01,B DIVISION,G,1,peak,5259,6790,0.77452135
2023-09-01,B DIVISION,JZ,2,offpeak,3387,4256,0.7958177
2023-09-01,B DIVISION,JZ,1,offpeak,8556,10403,0.82245505
2023-09-01,B DIVISION,JZ,1,peak,5503,7501,0.73363554
2023-09-01,B DIVISION,JZ,2,peak,1736,2272,0.7640845
2023-09-01,B DIVISION,L,1,offpeak,17970,22655,0.7932024
2023-09-01,B DIVISION,L,2,offpeak,5120,6314,0.8108964
2023-09-01,B DIVISION,L,1,peak,10537,13838,0.761454
2023-09-01,B DIVISION,L,2,peak,2670,3264,0.8180147
2023-09-01,B DIVISION,M,1,offpeak,6168,7914,0.7793783
2023-09-01,B DIVISION,M,2,offpeak,1387,1615,0.85882354
2023-09-01,B DIVISION,M,1,peak,3460,4455,0.77665544
2023-09-01,B DIVISION,M,2,peak,739,869,0.8504028
2023-09-01,B DIVISION,N,2,offpeak,4518,6282,0.7191977
2023-09-01,B DIVISION,N,1,offpeak,10925,16899,0.64648795
2023-09-01,B DIVISION,N,1,peak,6276,9932,0.6318969
2023-09-01,B DIVISION,N,2,peak,2345,3163,0.74138474
2023-09-01,B DIVISION,Q,1,offpeak,8783,12811,0.6855827
2023-09-01,B DIVISION,Q,2,offpeak,3083,4108,0.75048685
2023-09-01,B DIVISION,Q,2,peak,1618,2104,0.7690114
2023-09-01,B DIVISION,Q,1,peak,5120,7646,0.6696312
2023-09-01,B DIVISION,R,2,offpeak,4284,6366,0.67295
2023-09-01,B DIVISION,R,1,offpeak,13173,19737,0.66742665
2023-09-01,B DIVISION,R,2,peak,2480,3483,0.7120299
2023-09-01,B DIVISION,R,1,peak,8824,13501,0.6535812
2023-09-01,A DIVISION,S 42nd,2,offpeak,662,669,0.98953664
2023-09-01,A DIVISION,S 42nd,1,offpeak,2821,2849,0.99017197
2023-09-01,A DIVISION,S 42nd,2,peak,376,380,0.9894737
2023-09-01,A DIVISION,S 42nd,1,peak,1890,1919,0.98488796
2023-09-01,B DIVISION,S Fkln,1,offpeak,2207,2270,0.9722467
2023-09-01,B DIVISION,S Fkln,2,offpeak,1010,1015,0.9950739
2023-09-01,B DIVISION,S Fkln,1,peak,1333,1353,0.98521805
2023-09-01,B DIVISION,S Fkln,2,peak,553,556,0.9946043
2023-09-01,B DIVISION,S Rock,1,offpeak,1483,1648,0.8998786
2023-09-01,B DIVISION,S Rock,2,offpeak,626,652,0.9601227
2023-09-01,B DIVISION,S Rock,2,peak,350,367,0.9536785
2023-09-01,B DIVISION,S Rock,1,peak,720,810,0.8888889
2023-09-01,B DIVISION,W,1,offpeak,5185,7663,0.67662793
2023-09-01,B DIVISION,W,1,peak,3319,5182,0.6404863
2023-08-01,A DIVISION,1,2,offpeak,5433,6859,0.792098
2023-08-01,A DIVISION,1,1,offpeak,21421,28597,0.74906456
2023-08-01,A DIVISION,1,1,peak,13128,18698,0.7021072
2023-08-01,A DIVISION,1,2,peak,2715,3343,0.81214476
2023-08-01,A DIVISION,2,2,offpeak,5255,7056,0.7447562
2023-08-01,A DIVISION,2,1,offpeak,21959,31628,0.69428986
2023-08-01,A DIVISION,2,1,peak,13133,20189,0.65050274
2023-08-01,A DIVISION,2,2,peak,2767,3558,0.7776841
2023-08-01,A DIVISION,3,1,offpeak,18220,24884,0.7321974
2023-08-01,A DIVISION,3,2,offpeak,3851,4667,0.8251553
2023-08-01,A DIVISION,3,1,peak,11357,16368,0.69385386
2023-08-01,A DIVISION,3,2,peak,2055,2329,0.88235295
2023-08-01,A DIVISION,4,1,offpeak,25384,34440,0.73704994
2023-08-01,A DIVISION,4,2,offpeak,6759,8756,0.77192783
2023-08-01,A DIVISION,4,1,peak,16580,24794,0.6687102
2023-08-01,A DIVISION,4,2,peak,3792,4711,0.80492467
2023-08-01,A DIVISION,5,2,offpeak,3290,4097,0.8030266
2023-08-01,A DIVISION,5,1,offpeak,18703,26220,0.7133104
2023-08-01,A DIVISION,5,2,peak,1825,2116,0.86247635
2023-08-01,A DIVISION,5,1,peak,13675,21127,0.647276
2023-08-01,A DIVISION,6,2,offpeak,5345,6591,0.81095433
2023-08-01,A DIVISION,6,1,offpeak,24019,31797,0.75538576
2023-08-01,A DIVISION,6,1,peak,15687,21849,0.71797335
2023-08-01,A DIVISION,6,2,peak,2783,3447,0.80736876
2023-08-01,A DIVISION,7,2,offpeak,2736,3213,0.8515406
2023-08-01,A DIVISION,7,1,offpeak,12704,16158,0.7862359
2023-08-01,A DIVISION,7,1,peak,8886,12627,0.7037301
2023-08-01,A DIVISION,7,2,peak,1596,1948,0.81930184
2023-08-01,B DIVISION,A,1,offpeak,14755,23020,0.6409644
2023-08-01,B DIVISION,A,2,offpeak,4016,6119,0.6563164
2023-08-01,B DIVISION,A,1,peak,10209,16706,0.6110978
2023-08-01,B DIVISION,A,2,peak,2083,3194,0.6521603
2023-08-01,B DIVISION,B,1,offpeak,7508,10029,0.748629
2023-08-01,B DIVISION,B,1,peak,5342,7711,0.69277656
2023-08-01,B DIVISION,C,1,offpeak,9085,14773,0.61497325
2023-08-01,B DIVISION,C,2,offpeak,2657,3758,0.707025
2023-08-01,B DIVISION,C,1,peak,5266,8393,0.62742764
2023-08-01,B DIVISION,C,2,peak,1477,2116,0.6980151
2023-08-01,B DIVISION,D,1,offpeak,9865,14582,0.676519
2023-08-01,B DIVISION,D,2,offpeak,2488,3085,0.806483
2023-08-01,B DIVISION,D,1,peak,6217,9448,0.6580229
2023-08-01,B DIVISION,D,2,peak,1327,1602,0.8283396
2023-08-01,B DIVISION,E,2,offpeak,2384,3288,0.7250608
2023-08-01,B DIVISION,E,1,offpeak,13742,19498,0.70479023
2023-08-01,B DIVISION,E,2,peak,1215,1626,0.7472325
2023-08-01,B DIVISION,E,1,peak,9202,13608,0.6762199
2023-08-01,B DIVISION,F,1,offpeak,20600,32515,0.63355374
2023-08-01,B DIVISION,F,2,offpeak,3319,4543,0.7305745
2023-08-01,B DIVISION,F,2,peak,1762,2284,0.7714536
2023-08-01,B DIVISION,F,1,peak,13883,22008,0.63081604
2023-08-01,B DIVISION,G,2,offpeak,3824,4566,0.83749455
2023-08-01,B DIVISION,G,1,offpeak,11143,13531,0.82351637
2023-08-01,B DIVISION,G,2,peak,2010,2377,0.8456037
2023-08-01,B DIVISION,G,1,peak,6471,8209,0.78828114
2023-08-01,B DIVISION,JZ,2,offpeak,3048,3723,0.8186946
2023-08-01,B DIVISION,JZ,1,offpeak,10019,12582,0.7962963
2023-08-01,B DIVISION,JZ,1,peak,6598,9088,0.72601235
2023-08-01,B DIVISION,JZ,2,peak,1527,1990,0.76733667
2023-08-01,B DIVISION,L,1,offpeak,21707,27780,0.7813895
2023-08-01,B DIVISION,L,2,offpeak,3176,3793,0.83733195
2023-08-01,B DIVISION,L,1,peak,12690,16759,0.75720507
2023-08-01,B DIVISION,L,2,peak,1596,1944,0.82098764
2023-08-01,B DIVISION,M,2,offpeak,1807,2112,0.8555871
2023-08-01,B DIVISION,M,1,offpeak,10500,14278,0.7353971
2023-08-01,B DIVISION,M,1,peak,7576,10696,0.70830214
2023-08-01,B DIVISION,M,2,peak,957,1120,0.8544643
2023-08-01,B DIVISION,N,2,offpeak,3805,5576,0.6823888
2023-08-01,B DIVISION,N,1,offpeak,12711,18717,0.67911524
2023-08-01,B DIVISION,N,1,peak,7667,11975,0.6402505
2023-08-01,B DIVISION,N,2,peak,1903,2813,0.6765019
2023-08-01,B DIVISION,Q,2,offpeak,2938,4296,0.683892
2023-08-01,B DIVISION,Q,1,offpeak,10753,15382,0.69906384
2023-08-01,B DIVISION,Q,1,peak,6151,9033,0.68094766
2023-08-01,B DIVISION,Q,2,peak,1540,2231,0.6902734
2023-08-01,B DIVISION,R,2,offpeak,4606,6154,0.7484563
2023-08-01,B DIVISION,R,1,offpeak,15470,22132,0.6989879
2023-08-01,B DIVISION,R,1,peak,9965,15408,0.6467419
2023-08-01,B DIVISION,R,2,peak,2437,3267,0.7459443
2023-08-01,A DIVISION,S 42nd,1,offpeak,3421,3450,0.9915942
2023-08-01,A DIVISION,S 42nd,2,offpeak,757,769,0.9843953
2023-08-01,A DIVISION,S 42nd,1,peak,2264,2323,0.9746018
2023-08-01,A DIVISION,S 42nd,2,peak,399,434,0.91935486
2023-08-01,B DIVISION,S Fkln,2,offpeak,872,881,0.98978436
2023-08-01,B DIVISION,S Fkln,1,offpeak,2636,2718,0.96983075
2023-08-01,B DIVISION,S Fkln,1,peak,1621,1642,0.9872107
2023-08-01,B DIVISION,S Fkln,2,peak,479,482,0.9937759
2023-08-01,B DIVISION,S Rock,2,offpeak,488,535,0.91214955
2023-08-01,B DIVISION,S Rock,1,offpeak,1779,2002,0.8886114
2023-08-01,B DIVISION,S Rock,1,peak,888,975,0.9107692
2023-08-01,B DIVISION,S Rock,2,peak,270,295,0.91525424
2023-08-01,B DIVISION,W,1,offpeak,5091,6895,0.7383611
2023-08-01,B DIVISION,W,1,peak,4212,6451,0.65292203
2023-07-01,A DIVISION,1,2,offpeak,6322,7401,0.8542089
2023-07-01,A DIVISION,1,1,offpeak,18815,24570,0.76577127
2023-07-01,A DIVISION,1,1,peak,12070,16259,0.7423581
2023-07-01,A DIVISION,1,2,peak,3013,3572,0.843505
2023-07-01,A DIVISION,2,1,offpeak,18996,27469,0.6915432
2023-07-01,A DIVISION,2,2,offpeak,7217,9493,0.76024437
2023-07-01,A DIVISION,2,1,peak,11619,17555,0.66186273
2023-07-01,A DIVISION,2,2,peak,3735,4750,0.7863158
2023-07-01,A DIVISION,3,1,offpeak,16470,21700,0.7589862
2023-07-01,A DIVISION,3,2,offpeak,5160,6212,0.8306503
2023-07-01,A DIVISION,3,1,peak,10362,14280,0.7256302
2023-07-01,A DIVISION,3,2,peak,2602,3090,0.8420712
2023-07-01,A DIVISION,4,1,offpeak,21780,29839,0.7299172
2023-07-01,A DIVISION,4,2,offpeak,8433,11164,0.75537443
2023-07-01,A DIVISION,4,1,peak,14513,21560,0.6731447
2023-07-01,A DIVISION,4,2,peak,4407,5957,0.73980194
2023-07-01,A DIVISION,5,1,offpeak,16262,22623,0.718826
2023-07-01,A DIVISION,5,2,offpeak,2895,3370,0.85905045
2023-07-01,A DIVISION,5,2,peak,1628,1793,0.90797544
2023-07-01,A DIVISION,5,1,peak,12164,18326,0.66375643
2023-07-01,A DIVISION,6,2,offpeak,6209,7919,0.78406364
2023-07-01,A DIVISION,6,1,offpeak,22023,28738,0.7663373
2023-07-01,A DIVISION,6,2,peak,3377,4126,0.8184683
2023-07-01,A DIVISION,6,1,peak,14322,19050,0.751811
2023-07-01,A DIVISION,7,1,offpeak,11256,14273,0.7886219
2023-07-01,A DIVISION,7,2,offpeak,4122,5239,0.7867914
2023-07-01,A DIVISION,7,1,peak,7936,11061,0.71747583
2023-07-01,A DIVISION,7,2,peak,2390,3318,0.72031343
2023-07-01,B DIVISION,A,1,offpeak,13061,19890,0.6566616
2023-07-01,B DIVISION,A,2,offpeak,4871,7045,0.6914123
2023-07-01,B DIVISION,A,1,peak,9084,14489,0.6269584
2023-07-01,B DIVISION,A,2,peak,2544,3664,0.6943231
2023-07-01,B DIVISION,B,1,offpeak,6131,8601,0.7128241
2023-07-01,B DIVISION,B,1,peak,4863,7778,0.625225
2023-07-01,B DIVISION,C,1,offpeak,8248,11823,0.69762325
2023-07-01,B DIVISION,C,2,offpeak,3007,3943,0.7626173
2023-07-01,B DIVISION,C,1,peak,4996,7331,0.6814896
2023-07-01,B DIVISION,C,2,peak,1682,2240,0.7508929
2023-07-01,B DIVISION,D,1,offpeak,9224,13890,0.6640749
2023-07-01,B DIVISION,D,2,offpeak,3690,4962,0.74365175
2023-07-01,B DIVISION,D,1,peak,5714,8896,0.64231116
2023-07-01,B DIVISION,D,2,peak,1874,2537,0.7386677
2023-07-01,B DIVISION,E,2,offpeak,2818,4029,0.69942915
2023-07-01,B DIVISION,E,1,offpeak,11523,16927,0.68074673
2023-07-01,B DIVISION,E,2,peak,1518,2000,0.759
2023-07-01,B DIVISION,E,1,peak,7708,11829,0.6516189
2023-07-01,B DIVISION,F,1,offpeak,18231,28430,0.64125925
2023-07-01,B DIVISION,F,2,offpeak,5127,7165,0.71556175
2023-07-01,B DIVISION,F,2,peak,2447,3589,0.6818055
2023-07-01,B DIVISION,F,1,peak,12218,19254,0.63456947
2023-07-01,B DIVISION,G,2,offpeak,4654,5603,0.8306264
2023-07-01,B DIVISION,G,1,offpeak,9729,11777,0.8261017
2023-07-01,B DIVISION,G,2,peak,2427,2927,0.8291766
2023-07-01,B DIVISION,G,1,peak,5677,7184,0.7902283
2023-07-01,B DIVISION,JZ,2,offpeak,3785,4704,0.80463433
2023-07-01,B DIVISION,JZ,1,offpeak,8522,10905,0.7814764
2023-07-01,B DIVISION,JZ,2,peak,2014,2511,0.8020709
