month,division,line,day_type,period,num_timepoints_passing_wait_assessment,num_sched_timepoints,wait assessment
2024-02-01,B DIVISION,N,1,peak,6990,10640,0.6569549
2024-02-01,B DIVISION,N,2,peak,1988,2844,0.6990155
2024-02-01,B DIVISION,Q,2,offpeak,3056,4181,0.7309256
2024-02-01,B DIVISION,Q,1,offpeak,9222,12957,0.7117388
2024-02-01,B DIVISION,Q,1,peak,5220,7726,0.6756407
2024-02-01,B DIVISION,Q,2,peak,1495,2147,0.6963205
2024-02-01,B DIVISION,R,1,offpeak,13375,20820,0.6424112
2024-02-01,B DIVISION,R,2,offpeak,4314,5943,0.725896
2024-02-01,B DIVISION,R,1,peak,8995,14403,0.6245227
2024-02-01,B DIVISION,R,2,peak,2264,3184,0.7110553
2024-02-01,A DIVISION,S 42nd,1,offpeak,2942,2997,0.9816483
2024-02-01,A DIVISION,S 42nd,2,offpeak,845,852,0.99178404
2024-02-01,A DIVISION,S 42nd,1,peak,1987,2020,0.9836634
2024-02-01,A DIVISION,S 42nd,2,peak,494,496,0.99596775
2024-02-01,B DIVISION,S Fkln,2,offpeak,801,822,0.97445256
2024-02-01,B DIVISION,S Fkln,1,offpeak,2264,2313,0.9788154
2024-02-01,B DIVISION,S Fkln,1,peak,1417,1429,0.99160254
2024-02-01,B DIVISION,S Fkln,2,peak,415,432,0.9606481
2024-02-01,B DIVISION,S Rock,1,offpeak,1613,1753,0.9201369
2024-02-01,B DIVISION,S Rock,2,offpeak,552,596,0.9261745
2024-02-01,B DIVISION,S Rock,1,peak,797,856,0.93107474
2024-02-01,B DIVISION,S Rock,2,peak,305,332,0.9186747
2024-02-01,B DIVISION,W,1,offpeak,5829,8605,0.67739683
2024-02-01,B DIVISION,W,1,peak,3819,5782,0.6604981
2024-01-01,A DIVISION,1,1,offpeak,18240,25812,0.70664805
2024-01-01,A DIVISION,1,2,offpeak,4252,5471,0.77718884
2024-01-01,A DIVISION,1,1,peak,10642,16903,0.62959236
2024-01-01,A DIVISION,1,2,peak,2053,2616,0.7847859
