station_complex,year,month,day_type,ridership
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-09-01,1,1472649
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-05-01,1,1044066
"Grand Central-42 St (S,4,5,6,7)",2021,2021-01-01,1,534218
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-06-01,1,1537625
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-01-01,1,1569619
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-05-01,1,1215803
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-05-01,1,853104
"34 St-Penn Station (A,C,E)",2023,2023-09-01,1,1154019
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-06-01,1,1106745
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-08-01,1,878604
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-04-01,1,499988
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-09-01,1,532413
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-01-01,1,814169
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-06-01,1,1596302
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-12-01,1,1676083
"Grand Central-42 St (S,4,5,6,7)",2022,2022-04-01,1,1516205
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-11-01,1,521718
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-09-01,1,1441097
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-01-01,1,1230875
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-07-01,1,1645313
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-02-01,1,1738869
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-08-01,1,1345550
"34 St-Penn Station (A,C,E)",2022,2022-06-01,1,1055943
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-08-01,1,1073435
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-03-01,1,480463
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-11-01,1,916026
"34 St-Penn Station (A,C,E)",2020,2020-09-01,1,400285
"Grand Central-42 St (S,4,5,6,7)",2023,2023-12-01,1,2144166
"Grand Central-42 St (S,4,5,6,7)",2021,2021-10-01,1,1308186
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-11-01,1,1179578
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-05-01,1,542908
"34 St-Penn Station (A,C,E)",2021,2021-03-01,1,482608
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-11-01,1,635128
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-09-01,1,1391785
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-02-01,1,815464
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-01-01,1,939824
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-10-01,1,1151819
"34 St-Penn Station (A,C,E)",2021,2021-12-01,1,885521
"Grand Central-42 St (S,4,5,6,7)",2024,2024-08-01,1,2245759
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-04-01,1,689309
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-12-01,1,542690
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-06-01,1,1323081
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-07-01,1,1374392
"Grand Central-42 St (S,4,5,6,7)",2023,2023-10-01,1,2398570
"Grand Central-42 St (S,4,5,6,7)",2023,2023-11-01,1,2309976
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-08-01,1,1612476
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-03-01,1,2343198
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-08-01,1,1456686
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-07-01,1,859150
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-06-01,1,859235
"34 St-Penn Station (A,C,E)",2021,2021-06-01,1,686618
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-11-01,1,396880
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-05-01,1,1612252
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-02-01,1,1051170
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-01-01,1,1089764
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-11-01,1,2177860
"Grand Central-42 St (S,4,5,6,7)",2021,2021-12-01,1,1367397
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-06-01,1,1573980
"34 St-Penn Station (A,C,E)",2020,2020-12-01,1,395965
"34 St-Penn Station (A,C,E)",2024,2024-09-01,1,1076706
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-11-01,1,1297061
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-04-01,1,1667699
"34 St-Penn Station (A,C,E)",2024,2024-01-01,1,1206792
"Grand Central-42 St (S,4,5,6,7)",2024,2024-02-01,1,2184717
"34 St-Penn Station (A,C,E)",2023,2023-11-01,1,1232471
"Grand Central-42 St (S,4,5,6,7)",2022,2022-06-01,1,1750949
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-02-01,1,349274
"34 St-Penn Station (A,C,E)",2023,2023-05-01,1,1195982
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-07-01,1,1298687
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-06-01,1,680943
"34 St-Penn Station (A,C,E)",2021,2021-07-01,1,742695
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-09-01,1,1206281
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-03-01,1,1136460
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-07-01,1,757585
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-05-01,1,3250604
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-03-01,1,765529
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-02-01,1,783525
"Grand Central-42 St (S,4,5,6,7)",2023,2023-05-01,1,2298326
"Grand Central-42 St (S,4,5,6,7)",2021,2021-06-01,1,1018333
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-02-01,1,557853
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-12-01,1,1424028
"Grand Central-42 St (S,4,5,6,7)",2021,2021-08-01,1,1067120
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-12-01,1,712715
"Grand Central-42 St (S,4,5,6,7)",2023,2023-08-01,1,2241313
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-07-01,1,2765117
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-01-01,1,1250759
"34 St-Penn Station (A,C,E)",2020,2020-07-01,1,312426
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-09-01,1,1398488
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-05-01,1,2359140
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-01-01,1,474749
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-02-01,1,951889
"34 St-Penn Station (A,C,E)",2022,2022-12-01,1,1093342
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-10-01,1,1271192
"Grand Central-42 St (S,4,5,6,7)",2020,2020-08-01,1,445729
"Grand Central-42 St (S,4,5,6,7)",2022,2022-01-01,1,989094
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-09-01,1,2788910
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-03-01,1,1493136
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-12-01,1,2673384
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-08-01,1,1119674
"34 St-Penn Station (A,C,E)",2020,2020-11-01,1,378113
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-03-01,1,1065715
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-09-01,1,1124998
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-08-01,1,536832
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-04-01,1,1313265
