station_complex,month,day_type,ridership,lines
103 St-Corona Plaza (7),11,weekday,425782.0,7
103 St-Corona Plaza (7),11,weekend,84224.5,7
103 St-Corona Plaza (7),12,weekday,401328.0,7
103 St-Corona Plaza (7),12,weekend,88568.0,7
104 St (A),1,weekday,24359.666666666668,A
104 St (A),1,weekend,3647.3333333333335,A
104 St (A),2,weekday,24289.333333333332,A
104 St (A),2,weekend,3654.0,A
104 St (A),3,weekday,29186.666666666668,A
104 St (A),3,weekend,4401.666666666667,A
104 St (A),4,weekday,25426.666666666668,A
104 St (A),4,weekend,4116.666666666667,A
104 St (A),5,weekday,28871.0,A
104 St (A),5,weekend,3603.3333333333335,A
104 St (A),6,weekday,25825.333333333332,A
104 St (A),6,weekend,4631.333333333333,A
104 St (A),7,weekday,23528.666666666668,A
104 St (A),7,weekend,4566.333333333333,A
104 St (A),8,weekday,24518.0,A
104 St (A),8,weekend,4382.333333333333,A
104 St (A),9,weekday,25968.333333333332,A
104 St (A),9,weekend,3037.3333333333335,A
104 St (A),10,weekday,27189.0,A
104 St (A),10,weekend,2864.6666666666665,A
104 St (A),11,weekday,27561.5,A
104 St (A),11,weekend,4058.0,A
104 St (A),12,weekday,25717.5,A
104 St (A),12,weekend,4654.0,A
"104 St (J,Z)",1,weekday,39348.0,"J,Z"
"104 St (J,Z)",1,weekend,5837.0,"J,Z"
"104 St (J,Z)",2,weekday,38474.0,"J,Z"
"104 St (J,Z)",2,weekend,4227.0,"J,Z"
"104 St (J,Z)",3,weekday,47025.333333333336,"J,Z"
"104 St (J,Z)",3,weekend,3382.6666666666665,"J,Z"
"104 St (J,Z)",4,weekday,42142.0,"J,Z"
"104 St (J,Z)",4,weekend,7129.666666666667,"J,Z"
"104 St (J,Z)",5,weekday,47620.333333333336,"J,Z"
"104 St (J,Z)",5,weekend,5922.0,"J,Z"
"104 St (J,Z)",6,weekday,42549.666666666664,"J,Z"
"104 St (J,Z)",6,weekend,4990.333333333333,"J,Z"
"104 St (J,Z)",7,weekday,36183.0,"J,Z"
"104 St (J,Z)",7,weekend,6296.666666666667,"J,Z"
"104 St (J,Z)",8,weekday,36494.333333333336,"J,Z"
